	Achillea millefolium	Achillea styriaca	Aconitum lycoctonum	Aconitum variegatum	Actaea spicata	Aegopodium podagraria	Aethusa cynapium	Agrostis canina	Agrostis capillaris	Agrostis stolonifera	Ajuga genevensis	Ajuga reptans	Alisma plantago-aquatica	Alliaria petiolata	Allium senescens ssp. montanum	Allium species	Anemone nemorosa	Angelica sylvestris	Anthericum ramosum	Anthriscus sylvestris	Arrhenatherum elatius	Artemisia vulgaris	Asarum europaeum	Asplenium septentrionale	Asplenium trichomanes	Astragalus glycyphyllos	Athyrium filix-femina	Aurinia saxatilis ssp. saxatilis	Avenella flexuosa	Betonica officinalis	Bidens frondosus	Bidens tripartitus	Brachypodium pinnatum	Bromus benekenii	Calamagrostis arundinacea	Calamagrostis epigejos	Calluna vulgaris	Caltha palustris	Calystegia sepium	Campanula patula	Campanula persicifolia	Campanula rapunculoides	Campanula rotundifolia	Campanula trachelium	Cardamine amara	Cardamine flexuosa	Cardamine impatiens	Arabidopsis arenosa	Carduus personata	Carduus species	Carex acuta	Carex brizoides	Carex buekii	Carex digitata	Carex muricata agg.	Carex species	Chaerophyllum hirsutum	Chaerophyllum temulum	Chelidonium majus	Circaea alpina	Cirsium oleraceum	Clematis vitalba	Clinopodium vulgare	Convallaria majalis	Convolvulus arvensis	Cuscuta europaea	Cymbalaria muralis	Cystopteris fragilis	Cytisus nigricans	Dactylis glomerata	Danthonia decumbens	Deschampsia cespitosa	Dianthus carthusianorum ssp. carthusianorum	Dianthus deltoides	Digitalis grandiflora	Doronicum austriacum	Dryopteris carthusiana	Dryopteris dilatata	Dryopteris expansa	Dryopteris filix-mas	Elymus caninus	Epilobium angustifolium	Epilobium collinum	Epilobium hirsutum	Epilobium montanum	Epilobium roseum	Epilobium species	Equisetum arvense	Equisetum palustre	Euphorbia cyparissias	Euphorbia dulcis	Fallopia convolvulus	Fallopia dumetorum	Festuca gigantea	Festuca heterophylla	Festuca ovina	Festuca pallens	Festuca rubra	Filipendula ulmaria	Fragaria moschata	Fragaria vesca	Galeobdolon montanum	Galeopsis bifida	Galeopsis pubescens	Galeopsis species	Galeopsis speciosa	Galium album ssp. album	Galium aparine	Galium odoratum	Galium palustre	Galium rotundifolium	Galium sylvaticum	Galium uliginosum	Genista germanica	Genista tinctoria	Geranium robertianum	Geum urbanum	Glechoma hederacea	Glyceria fluitans	Glyceria maxima	Gymnocarpium dryopteris	Hedera helix	Hepatica nobilis	Heracleum sphondylium	Hieracium lachenalii	Hieracium murorum	Pilosella officinarum	Hieracium sabaudum	Hieracium umbellatum	Holcus lanatus	Humulus lupulus	Hylotelephium maximum	Hypericum montanum	Hypericum perforatum	Impatiens glandulifera	Impatiens noli-tangere	Impatiens parviflora	Iris pseudacorus	Juncus articulatus	Juncus effusus	Knautia arvensis	Knautia maxima	Koeleria pyramidata	Lactuca serriola	Lamium maculatum	Lapsana communis	Lathyrus vernus	Lilium martagon	Lunaria rediviva	Luzula luzuloides	Luzula pilosa	Viscaria vulgaris	Lycopus europaeus	Lysimachia vulgaris	Lythrum salicaria	Melampyrum nemorosum	Melampyrum pratense	Melica nutans	Mentha longifolia	Mentha ×verticillata	Mercurialis perennis	Milium effusum	Moehringia trinervia	Mycelis muralis	Myosotis palustris agg.	Myosotis sylvatica	Myosoton aquaticum	Origanum vulgare	Oxalis acetosella	Paris quadrifolia	Persicaria amphibia	Persicaria hydropiper	Phalaris arundinacea	Pimpinella saxifraga ssp. saxifraga	Plantago lanceolata	Poa angustifolia	Poa nemoralis	Poa palustris	Poa trivialis	Polygonatum multiflorum	Polygonatum odoratum	Polypodium vulgare	Prenanthes purpurea	Pulmonaria obscura	Ranunculus lanuginosus	Ranunculus repens	Rumex acetosella	Rumex aquaticus	Rumex conglomeratus	Rumex obtusifolius	Salvia glutinosa	Scrophularia nodosa	Scutellaria galericulata	Securigera varia	Senecio germanicus	Senecio ovatus	Senecio viscosus	Silene nutans	Silene species	Silene vulgaris	Solanum dulcamara	Solidago virgaurea	Stachys palustris	Stachys sylvatica	Stellaria graminea	Stellaria holostea	Stellaria media	Stellaria nemorum	Symphytum officinale	Taraxacum species	Thymus pulegioides	Torilis japonica	Trifolium alpestre	Urtica dioica	Vaccinium myrtillus	Vaccinium vitis-idaea	Valeriana excelsa ssp. sambucifolia	Verbascum densiflorum	Verbascum nigrum	Verbascum species	Veronica beccabunga	Veronica chamaedrys	Veronica officinalis	Vicia dumetorum	Vicia species	Vicia sylvatica	Vincetoxicum hirundinaria	Viola collina	Viola reichenbachiana	Viola species	Viola tricolor
11	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	4	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	3	0	0	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	1	0	2	0	3	0	2	2	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	2	0	0	0	0	0	0	0	4	0	2	0	0	0	0	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	2	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1
14	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	4	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	1	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	38	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	4	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	3	0	1	0	0	0	3	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	3	0	0	3	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
